timestamp,service,status_code,latency_ms,status
2026-01-01 15:40:53,Google,200,11634.1,UP
2026-01-01 15:41:00,GitHub,200,7380.9,UP
2026-01-01 15:41:10,Google,200,814.62,UP
2026-01-01 15:41:11,GitHub,200,996.54,UP
2026-01-01 15:41:11,Oracle,403,310.12,UP
2026-01-01 15:41:42,Google,200,781.31,UP
2026-01-01 15:41:45,GitHub,200,2584.67,UP
2026-01-01 15:41:50,Oracle,403,5597.68,UP
2026-01-01 15:42:21,Google,200,732.53,UP
2026-01-01 15:42:23,GitHub,200,1564.89,UP
2026-01-01 15:42:28,Oracle,403,5927.15,UP
2026-01-01 15:42:59,Google,200,946.99,UP
2026-01-01 15:43:00,GitHub,200,718.92,UP
2026-01-01 15:43:01,Oracle,403,1001.7,UP
2026-01-01 15:43:33,Google,200,1822.53,UP
2026-01-01 15:43:35,GitHub,200,2014.76,UP
2026-01-01 15:43:35,Oracle,403,377.28,UP
2026-01-01 15:44:06,Google,200,740.95,UP
2026-01-01 15:44:08,GitHub,200,1866.19,UP
2026-01-01 15:44:13,Oracle,403,5324.42,UP
2026-01-01 15:44:46,Google,200,2533.58,UP
2026-01-01 15:44:46,GitHub,200,523.96,UP
2026-01-01 15:44:47,Oracle,403,401.36,UP
2026-01-01 15:45:18,Google,200,931.04,UP
2026-01-01 15:45:19,GitHub,200,768.19,UP
2026-01-01 15:45:19,Oracle,403,467.26,UP
2026-01-01 15:45:51,Google,200,1532.82,UP
2026-01-01 15:45:54,GitHub,200,3099.34,UP
2026-01-01 15:46:00,Oracle,403,6485.03,UP
2026-01-01 15:46:31,Google,200,828.93,UP
2026-01-01 15:46:32,GitHub,200,1248.85,UP
2026-01-01 15:46:33,Oracle,403,425.78,UP
2026-01-01 15:47:03,Google,200,693.21,UP
2026-01-01 15:47:06,GitHub,200,2764.33,UP
2026-01-01 15:47:15,Oracle,403,8420.98,UP
2026-01-01 15:47:46,Google,200,1640.83,UP
